query_id,kind,method,n,visible_count,recall_at_k,secure_topk_exact,failure_mode,latency_ms,candidates,raw_candidates,policy_checks,certified,certificate_false_positive
53,semijoin,PostFilter-SQL,9000,256,0.4,0,ranking_truncation,0.04528099998424295,34,1069,1069,0,0
53,semijoin,PACER-A-SQL,9000,256,0.8,0,ranking_truncation,1.1168749999797,134,4800,4800,0,0
53,semijoin,PACER-X-SQL,9000,256,1.0,1,none,1.7680799999197916,256,8328,8328,1,0
54,antijoin,ExactSQL,9000,2331,1.0,1,none,0.17219400001522445,2331,9000,9000,1,0
54,antijoin,PostFilter-SQL,9000,2331,0.7,0,ranking_truncation,0.06978999999773805,298,1103,1103,0,0
54,antijoin,PACER-A-SQL,9000,2331,1.0,1,none,1.301264999938212,1267,4800,4800,0,0
54,antijoin,PACER-X-SQL,9000,2331,1.0,1,none,2.1488490001502214,2331,9000,9000,1,0
55,mixed,ExactSQL,9000,1839,1.0,1,none,0.13174200012144865,1839,9000,9000,1,0
55,mixed,PostFilter-SQL,9000,1839,0.8,0,ranking_truncation,0.09450099992136529,230,1226,1226,0,0
55,mixed,PACER-A-SQL,9000,1839,0.9,0,ranking_truncation,1.2349039998298394,850,4800,4800,0,0
55,mixed,PACER-X-SQL,9000,1839,1.0,1,none,2.122823000036078,1839,9000,9000,1,0
56,dnf,ExactSQL,9000,584,1.0,1,none,0.05513900009646022,584,9000,9000,1,0
56,dnf,PostFilter-SQL,9000,584,0.5,0,ranking_truncation,0.0453669999842532,53,1053,1053,0,0
56,dnf,PACER-A-SQL,9000,584,0.9,0,ranking_truncation,1.1606010000377864,302,4800,4800,0,0
56,dnf,PACER-X-SQL,9000,584,1.0,1,none,2.094001999921602,584,8948,8948,1,0
57,semijoin,ExactSQL,9000,248,1.0,1,none,0.040549000004830305,248,9000,9000,1,0
57,semijoin,PostFilter-SQL,9000,248,0.6,0,ranking_truncation,0.045028999920759816,52,1264,1264,0,0
57,semijoin,PACER-A-SQL,9000,248,0.9,0,ranking_truncation,1.0984279999775026,147,4800,4800,0,0
57,semijoin,PACER-X-SQL,9000,248,1.0,1,none,1.9537519999630604,248,8543,8543,1,0
58,antijoin,ExactSQL,9000,2244,1.0,1,none,0.17784099986783986,2244,9000,9000,1,0
58,antijoin,PostFilter-SQL,9000,2244,0.8,0,ranking_truncation,0.07041799995022302,269,1126,1126,0,0
58,antijoin,PACER-A-SQL,9000,2244,0.9,0,ranking_truncation,1.218344000108118,1168,4800,4800,0,0
58,antijoin,PACER-X-SQL,9000,2244,1.0,1,none,2.1408180000435095,2244,9000,9000,1,0
59,mixed,ExactSQL,9000,1789,1.0,1,none,0.12301499987188436,1789,9000,9000,1,0
59,mixed,PostFilter-SQL,9000,1789,1.0,1,none,0.07113500009836571,347,1332,1332,0,0
59,mixed,PACER-A-SQL,9000,1789,1.0,1,none,1.2719049998395349,1023,4800,4800,0,0
59,mixed,PACER-X-SQL,9000,1789,1.0,1,none,2.1397289999640634,1789,9000,9000,1,0
60,dnf,ExactSQL,9000,771,1.0,1,none,0.06347700013975555,771,9000,9000,1,0
60,dnf,PostFilter-SQL,9000,771,0.7,0,ranking_truncation,0.04914400005873176,111,847,847,0,0
60,dnf,PACER-A-SQL,9000,771,0.9,0,ranking_truncation,1.2930909999795404,398,4800,4800,0,0
60,dnf,PACER-X-SQL,9000,771,1.0,1,none,1.9921670000258018,771,8963,8963,1,0
61,semijoin,ExactSQL,9000,245,1.0,1,none,0.04088699984095001,245,9000,9000,1,0
61,semijoin,PostFilter-SQL,9000,245,0.6,0,ranking_truncation,0.04108899997845583,24,757,757,0,0
61,semijoin,PACER-A-SQL,9000,245,1.0,1,none,1.0951770000247052,151,4800,4800,0,0
61,semijoin,PACER-X-SQL,9000,245,1.0,1,none,1.798880000023928,245,8483,8483,1,0
62,antijoin,ExactSQL,9000,2363,1.0,1,none,0.17140599993581418,2363,9000,9000,1,0
62,antijoin,PostFilter-SQL,9000,2363,0.7,0,ranking_truncation,0.07321799989767896,361,1320,1320,0,0
62,antijoin,PACER-A-SQL,9000,2363,1.0,1,none,1.273291999950743,1283,4800,4800,0,0
