query_id,kind,method,n,dim,visible_count,recall_at_k,secure_topk_exact,failure_mode,latency_ms,candidates,raw_candidates,policy_checks,visited_cluster_count,certified,certificate_false_positive,summary_pruned_clusters
39,mixed,ExactSQL-AST,9000,64,2657,1.0,1,none,0.6093600004533073,2657,9000,9000,0,1,0,0
39,mixed,PostFilter-SQL-AST,9000,64,2657,0.6,0,ranking_truncation,0.258443000348052,362,1181,1181,8,0,0,0
39,mixed,PACER-A-SQL-AST,9000,64,2657,1.0,1,none,6.429182999454497,1555,4800,4800,35,0,0,0
39,mixed,PACER-X-SQL-AST,9000,64,2657,1.0,1,none,9.75885899970308,2657,9000,9000,64,1,0,0
40,dnf,ExactSQL-AST,9000,64,381,1.0,1,none,0.9115779994317563,381,9000,9000,0,1,0,0
40,dnf,PostFilter-SQL-AST,9000,64,381,0.6,0,ranking_truncation,0.3202979996785871,54,1025,1025,8,0,0,0
40,dnf,PACER-A-SQL-AST,9000,64,381,0.9,0,ranking_truncation,8.151825999448192,209,4800,4800,34,0,0,0
40,dnf,PACER-X-SQL-AST,9000,64,381,1.0,1,none,13.9556909998646,381,9000,9000,64,1,0,0
41,semijoin,ExactSQL-AST,9000,64,195,1.0,1,none,0.3216169998268015,195,9000,9000,0,1,0,0
41,semijoin,PostFilter-SQL-AST,9000,64,195,0.5,0,ranking_truncation,0.16710999989300035,27,1093,1093,8,0,0,0
41,semijoin,PACER-A-SQL-AST,9000,64,195,0.9,0,ranking_truncation,3.840510999907565,106,4800,4800,32,0,0,1
41,semijoin,PACER-X-SQL-AST,9000,64,195,1.0,1,none,8.474392999232805,195,8974,8974,63,1,0,1
42,antijoin,ExactSQL-AST,9000,64,2027,1.0,1,none,0.9765689992491389,2027,9000,9000,0,1,0,0
42,antijoin,PostFilter-SQL-AST,9000,64,2027,0.9,0,ranking_truncation,0.4261029998815502,222,1150,1150,8,0,0,0
42,antijoin,PACER-A-SQL-AST,9000,64,2027,1.0,1,none,8.504106999680516,962,4800,4800,35,0,0,0
42,antijoin,PACER-X-SQL-AST,9000,64,2027,1.0,1,none,12.707701999715937,2027,9000,9000,64,1,0,0
43,range,ExactSQL-AST,9000,64,875,1.0,1,none,0.399094999920635,875,9000,9000,0,1,0,0
43,range,PostFilter-SQL-AST,9000,64,875,0.8,0,ranking_truncation,0.23685600081080338,182,1084,1084,8,0,0,0
43,range,PACER-A-SQL-AST,9000,64,875,0.9,0,ranking_truncation,4.700669999692764,512,4800,4800,32,0,0,0
43,range,PACER-X-SQL-AST,9000,64,875,1.0,1,none,8.714151000276615,875,9000,9000,64,1,0,0
44,mixed,ExactSQL-AST,9000,64,2823,1.0,1,none,0.6518569998661405,2823,9000,9000,0,1,0,0
44,mixed,PostFilter-SQL-AST,9000,64,2823,0.9,0,ranking_truncation,0.36172399995848536,387,1243,1243,8,0,0,0
44,mixed,PACER-A-SQL-AST,9000,64,2823,1.0,1,none,6.092728000112402,1449,4800,4800,33,0,0,0
44,mixed,PACER-X-SQL-AST,9000,64,2823,1.0,1,none,9.720688000015798,2823,9000,9000,64,1,0,0
45,dnf,ExactSQL-AST,9000,64,613,1.0,1,none,0.7508449998567812,613,9000,9000,0,1,0,0
45,dnf,PostFilter-SQL-AST,9000,64,613,0.9,0,ranking_truncation,0.35820199991576374,88,1207,1207,8,0,0,0
45,dnf,PACER-A-SQL-AST,9000,64,613,0.9,0,ranking_truncation,8.101098999759415,295,4800,4800,33,0,0,1
45,dnf,PACER-X-SQL-AST,9000,64,613,1.0,1,none,14.528982000229007,613,8974,8974,63,1,0,1
46,semijoin,ExactSQL-AST,9000,64,158,1.0,1,none,0.3392240005268832,158,9000,9000,0,1,0,0
46,semijoin,PostFilter-SQL-AST,9000,64,158,0.6,0,ranking_truncation,0.17232300069736084,17,1171,1171,8,0,0,0
46,semijoin,PACER-A-SQL-AST,9000,64,158,0.9,0,ranking_truncation,3.948716000195418,81,4800,4800,33,0,0,1
46,semijoin,PACER-X-SQL-AST,9000,64,158,1.0,1,none,8.581386000514613,158,8974,8974,63,1,0,1
47,antijoin,ExactSQL-AST,9000,64,1527,1.0,1,none,0.5941459994573961,1527,9000,9000,0,1,0,0
47,antijoin,PostFilter-SQL-AST,9000,64,1527,0.7,0,ranking_truncation,0.2399810000497382,205,1142,1142,8,0,0,0
47,antijoin,PACER-A-SQL-AST,9000,64,1527,1.0,1,none,5.651083999509865,847,4800,4800,33,0,0,0
47,antijoin,PACER-X-SQL-AST,9000,64,1527,1.0,1,none,10.075866000079259,1527,9000,9000,64,1,0,0
48,range,ExactSQL-AST,9000,64,818,1.0,1,none,0.368304000403441,818,9000,9000,0,1,0,0
48,range,PostFilter-SQL-AST,9000,64,818,0.3,0,ranking_truncation,0.16964899987215176,72,1188,1188,8,0,0,0
48,range,PACER-A-SQL-AST,9000,64,818,1.0,1,none,4.16920800034859,473,4800,4800,33,0,0,0
48,range,PACER-X-SQL-AST,9000,64,818,1.0,1,none,7.314415999644552,818,9000,9000,64,1,0,0
49,mixed,ExactSQL-AST,9000,64,2017,1.0,1,none,0.5349080001906259,2017,9000,9000,0,1,0,0
49,mixed,PostFilter-SQL-AST,9000,64,2017,0.5,0,ranking_truncation,0.28739100071106805,258,933,933,8,0,0,0
49,mixed,PACER-A-SQL-AST,9000,64,2017,0.9,0,ranking_truncation,4.650697999750264,1100,4800,4800,33,0,0,0
49,mixed,PACER-X-SQL-AST,9000,64,2017,1.0,1,none,9.60588199995982,2017,9000,9000,64,1,0,0
50,dnf,ExactSQL-AST,9000,64,405,1.0,1,none,0.6936780000614817,405,9000,9000,0,1,0,0
50,dnf,PostFilter-SQL-AST,9000,64,405,0.9,0,ranking_truncation,0.3508099998725811,50,1170,1170,8,0,0,0
50,dnf,PACER-A-SQL-AST,9000,64,405,1.0,1,none,9.0041100002054,251,4800,4800,35,0,0,0
50,dnf,PACER-X-SQL-AST,9000,64,405,1.0,1,none,14.220671000657603,405,9000,9000,64,1,0,0
51,semijoin,ExactSQL-AST,9000,64,220,1.0,1,none,0.27310699988447595,220,9000,9000,0,1,0,0
51,semijoin,PostFilter-SQL-AST,9000,64,220,0.7,0,ranking_truncation,0.16342799972335342,52,1139,1139,8,0,0,0
51,semijoin,PACER-A-SQL-AST,9000,64,220,1.0,1,none,4.169097000158217,153,4800,4800,34,0,0,0
51,semijoin,PACER-X-SQL-AST,9000,64,220,1.0,1,none,7.414953999614227,220,9000,9000,64,1,0,0
52,antijoin,ExactSQL-AST,9000,64,2333,1.0,1,none,0.7077979998939554,2333,9000,9000,0,1,0,0
52,antijoin,PostFilter-SQL-AST,9000,64,2333,0.8,0,ranking_truncation,0.3146270000797813,365,1301,1301,8,0,0,0
52,antijoin,PACER-A-SQL-AST,9000,64,2333,1.0,1,none,4.981250999662734,1291,4800,4800,29,0,0,0
52,antijoin,PACER-X-SQL-AST,9000,64,2333,1.0,1,none,10.178632000133803,2333,9000,9000,64,1,0,0
53,range,ExactSQL-AST,9000,64,519,1.0,1,none,0.3340639996167738,519,9000,9000,0,1,0,0
53,range,PostFilter-SQL-AST,9000,64,519,0.6,0,ranking_truncation,0.162080000336573,83,1018,1018,8,0,0,0
53,range,PACER-A-SQL-AST,9000,64,519,1.0,1,none,4.1945299999497365,296,4800,4800,35,0,0,0
53,range,PACER-X-SQL-AST,9000,64,519,1.0,1,none,7.253978999870014,519,9000,9000,64,1,0,0
54,mixed,ExactSQL-AST,9000,64,2240,1.0,1,none,0.5397929999162443,2240,9000,9000,0,1,0,0
54,mixed,PostFilter-SQL-AST,9000,64,2240,0.8,0,ranking_truncation,0.23919600062072277,272,1134,1134,8,0,0,0
