epoch,query_id,method,base_rows,delta_rows,visible_rows,inserted_since_compaction,tombstones_to_date,recall_at_k,secure_topk_exact,raw_checks,rebuild_ms,policy_violations,epoch_violations
5,3,DeltaPACER,7444,1780,8551,1780,673,1.0,1,1782,0.0,0,0
5,3,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,3,125.68965299988122,0,0
5,4,BaseOnly-Stale,7444,1780,8551,1780,673,0.8,0,3280,0.0,0,0
5,4,DeltaPACER,7444,1780,8551,1780,673,1.0,1,5060,0.0,0,0
5,4,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,4095,125.68965299988122,0,0
5,5,BaseOnly-Stale,7444,1780,8551,1780,673,0.7,0,214,0.0,0,0
5,5,DeltaPACER,7444,1780,8551,1780,673,1.0,1,1994,0.0,0,0
5,5,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,268,125.68965299988122,0,0
5,6,BaseOnly-Stale,7444,1780,8551,1780,673,1.0,1,5,0.0,0,0
5,6,DeltaPACER,7444,1780,8551,1780,673,1.0,1,1785,0.0,0,0
5,6,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,5,125.68965299988122,0,0
5,7,BaseOnly-Stale,7444,1780,8551,1780,673,1.0,1,3,0.0,0,0
5,7,DeltaPACER,7444,1780,8551,1780,673,1.0,1,1783,0.0,0,0
5,7,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,3,125.68965299988122,0,0
5,8,BaseOnly-Stale,7444,1780,8551,1780,673,0.7,0,3414,0.0,0,0
5,8,DeltaPACER,7444,1780,8551,1780,673,1.0,1,5194,0.0,0,0
5,8,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,4266,125.68965299988122,0,0
5,9,BaseOnly-Stale,7444,1780,8551,1780,673,0.6,0,202,0.0,0,0
5,9,DeltaPACER,7444,1780,8551,1780,673,1.0,1,1982,0.0,0,0
5,9,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,253,125.68965299988122,0,0
5,10,BaseOnly-Stale,7444,1780,8551,1780,673,0.5714285714285714,0,4,0.0,0,0
5,10,DeltaPACER,7444,1780,8551,1780,673,1.0,1,1784,0.0,0,0
5,10,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,7,125.68965299988122,0,0
5,11,BaseOnly-Stale,7444,1780,8551,1780,673,1.0,1,7,0.0,0,0
5,11,DeltaPACER,7444,1780,8551,1780,673,1.0,1,1787,0.0,0,0
5,11,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,7,125.68965299988122,0,0
5,12,BaseOnly-Stale,7444,1780,8551,1780,673,0.9,0,2948,0.0,0,0
5,12,DeltaPACER,7444,1780,8551,1780,673,1.0,1,4728,0.0,0,0
5,12,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,3645,125.68965299988122,0,0
5,13,BaseOnly-Stale,7444,1780,8551,1780,673,0.8,0,152,0.0,0,0
5,13,DeltaPACER,7444,1780,8551,1780,673,1.0,1,1932,0.0,0,0
5,13,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,198,125.68965299988122,0,0
5,14,BaseOnly-Stale,7444,1780,8551,1780,673,1.0,1,3,0.0,0,0
5,14,DeltaPACER,7444,1780,8551,1780,673,1.0,1,1783,0.0,0,0
5,14,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,3,125.68965299988122,0,0
5,15,BaseOnly-Stale,7444,1780,8551,1780,673,0.5,0,2,0.0,0,0
5,15,DeltaPACER,7444,1780,8551,1780,673,1.0,1,1782,0.0,0,0
5,15,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,4,125.68965299988122,0,0
5,16,BaseOnly-Stale,7444,1780,8551,1780,673,0.9,0,3207,0.0,0,0
5,16,DeltaPACER,7444,1780,8551,1780,673,1.0,1,4987,0.0,0,0
5,16,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,3967,125.68965299988122,0,0
5,17,BaseOnly-Stale,7444,1780,8551,1780,673,0.8,0,163,0.0,0,0
5,17,DeltaPACER,7444,1780,8551,1780,673,1.0,1,1943,0.0,0,0
5,17,FreshSlice-Rebuild,7444,1780,8551,1780,673,1.0,1,205,125.68965299988122,0,0
